x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
0.0,7.98,42.23,334.4,10.0,96.57908,7.773508,151.2213
0.0,7.98,39.63,54.72,10.0,26.68355,7.741399,144.3148
6.03,7.97,45.15,161.33,-4.12,13.3213,7.917756,18.49203
74.04,7.97,129.11,45.33,-5.0,88.44806,7.904514,142.2423
158.52,8.0,233.38,267.27,8.29,60.68079,7.784992,245.0081
288.61,7.97,36.84,253.36,-5.0,267.2646,7.901497,30.75248
173.75,7.99,64.32,120.95,6.5,262.1982,7.760921,36.64967
191.91,7.98,247.77,202.71,10.0,57.64423,7.745175,207.267
151.25,7.99,108.85,59.27,10.0,267.2829,7.743546,200.384
47.38,7.98,144.31,306.27,10.0,42.72231,7.742244,257.0487
0.0,7.98,125.56,121.69,6.17,34.48702,7.741757,27.66942
0.0,7.98,116.0,56.96,-4.08,17.21774,7.831461,129.4621
3.79,7.97,145.4,65.35,6.9,70.63118,7.829616,170.2777
125.72,8.0,176.54,337.86,10.0,123.6445,7.77201,296.3412
239.85,7.97,195.41,218.79,10.0,80.6895,7.769294,155.4006
233.23,7.97,290.11,73.91,-4.11,253.0574,7.870286,298.7752
180.01,8.0,213.53,310.99,-5.0,164.7562,7.921456,224.5663
169.05,8.0,98.22,70.15,-5.0,188.6846,7.920171,99.52047
263.55,7.97,0.0,305.69,2.69,213.7801,7.847782,19.1476
300.0,8.0,54.43,4.9,7.46,170.3921,7.747738,30.50032
259.78,7.99,2.03,7.79,-5.0,262.1625,7.901378,22.70461
215.72,8.0,0.0,334.92,-5.0,206.8601,7.897845,18.68328
285.25,7.98,80.84,3.55,10.0,225.504,7.860581,158.5284
300.0,7.99,115.55,193.3,-1.49,293.1052,7.924911,82.31213
242.18,7.99,50.44,104.27,-5.0,266.3279,7.896334,47.09826
8.0,7.99,42.83,51.21,-0.25,32.77097,7.86353,81.63007
42.92,8.0,63.41,322.38,-5.0,31.65763,7.910875,80.23301
153.48,7.98,74.1,78.13,-5.0,179.6677,7.900359,76.98212
275.32,7.99,85.89,204.07,-5.0,266.9221,7.903769,66.83054
279.46,7.99,154.3,297.94,-5.0,256.0505,7.91788,164.1123
167.45,7.99,201.88,171.39,-5.0,170.8852,7.918066,180.8974
64.43,7.99,245.63,286.06,-5.0,41.22992,7.907565,254.2404
71.26,7.97,230.01,305.29,5.48,24.27583,7.915304,269.4644
70.81,7.97,300.0,58.41,10.0,157.0599,7.770632,182.242
17.29,8.0,108.31,191.19,10.0,71.62681,7.774237,22.83635
153.74,7.98,246.5,185.38,10.0,35.7378,7.757686,131.5979
174.41,7.98,278.13,110.77,10.0,197.4565,7.754417,169.4872
98.58,7.98,184.6,264.05,-5.0,78.85343,7.928703,182.0616
212.72,8.0,165.28,301.23,-5.0,197.2729,7.906227,176.3069
225.55,7.99,41.52,93.76,-5.0,249.0409,7.897785,40.95965
138.21,7.99,0.0,318.39,3.61,117.5646,7.869991,97.43407
118.25,8.0,0.0,48.08,-5.0,132.969,7.925674,16.43921
134.62,7.98,0.0,42.35,-5.0,158.5142,7.911062,10.89296
244.49,7.97,66.31,210.1,-5.0,234.7207,7.912726,50.85567
300.0,8.0,105.53,258.64,10.0,176.3005,7.765415,94.05974
168.01,7.97,28.98,77.83,-5.0,189.912,7.925157,32.18856
100.79,8.0,117.21,191.92,-5.0,93.7796,7.901539,99.36623
31.42,7.98,208.28,207.56,-5.0,20.24267,7.914262,193.2453
30.35,7.98,300.0,193.57,-3.73,23.30417,7.954476,277.5042
101.93,7.97,186.23,183.77,6.17,134.7595,7.749845,98.29295
129.96,7.99,106.93,270.36,-4.65,105.8388,7.909581,108.6336
165.04,7.98,2.78,23.24,-5.0,170.665,7.929835,19.73139
238.59,8.0,38.49,107.26,-5.0,260.8175,7.907235,38.26157
287.91,7.99,151.49,340.34,-5.0,280.9626,7.920074,169.8228
250.03,7.99,234.62,145.46,-5.0,258.8278,7.897593,221.3451
180.69,7.99,192.79,33.37,0.12,208.4483,7.882013,227.3441
119.51,8.0,56.27,239.45,10.0,9.074382,7.761198,119.8523
112.47,7.98,0.0,35.55,2.33,157.1113,7.888087,31.04051
248.95,7.99,134.23,312.03,10.0,206.1011,7.744123,231.6201
300.0,7.98,213.97,257.38,10.0,186.7964,7.756365,127.1995
269.14,8.0,138.88,299.5,10.0,172.6367,7.769057,203.7074
164.21,8.0,72.92,67.14,10.0,253.497,7.746516,212.2057
35.56,7.97,56.54,66.36,-5.0,58.33582,7.927879,63.98037
98.5,8.0,0.0,288.45,-5.0,77.72834,7.905389,6.810533
194.76,7.98,66.05,322.85,5.26,132.1571,7.895699,94.6823
245.62,7.98,102.88,348.8,-5.0,237.3044,7.923584,120.9775
144.14,7.98,34.38,222.86,-5.0,130.9122,7.901109,20.75582
95.67,7.98,0.0,11.72,-5.0,99.01835,7.913809,20.59985
147.64,7.98,88.15,57.98,10.0,280.4887,7.77136,54.74276
111.2,7.99,205.4,291.67,6.17,59.85378,7.749392,282.8143
86.74,7.99,284.09,206.89,-4.43,75.3566,7.872367,259.9424
50.74,8.0,187.29,199.78,-5.0,44.12485,7.908186,167.2141
137.89,7.99,115.66,315.91,-5.0,126.1436,7.921626,126.2702
233.7,7.99,36.92,188.63,-5.0,227.9907,7.899035,17.83917
188.91,8.0,300.0,269.4,-5.0,167.7113,7.910697,300.0802
